phrase,doc_count,occurrence_count,mean_score,total_score
resilience,10,10,0.5512363636363636,6.0636
transportation,6,6,0.40726666666666667,2.4436
management,5,5,0.20212,1.0106
climate change,3,3,0.43039999999999995,1.2912
infrastructure,3,3,0.38563333333333333,1.1569
transportation systems resilience,2,2,0.80725,1.6145
resilience equity,2,2,0.6231,1.2462
network resilience,2,2,0.5614,1.1228
pavements,2,2,0.54915,1.0983
disasters,2,2,0.54285,1.0857
resilient,2,2,0.49295,0.9859
hazards,2,2,0.47955000000000003,0.9591000000000001
climate,2,2,0.37570000000000003,0.7514000000000001
adaptation,2,2,0.3045,0.609
value,2,2,0.26995,0.5399
community,2,2,0.24335,0.4867
asset,2,2,0.2095,0.419
systems,2,2,0.19590000000000002,0.39180000000000004
network,2,2,0.16595,0.3319
change,2,2,0.14800000000000002,0.29600000000000004
natural,2,2,0.04393333333333333,0.1318
resilience lifelines social,1,1,0.9412,0.9412
pavements sustainable resilient,1,1,0.9262,0.9262
resilient pavements sustainable,1,1,0.9255,0.9255
sustainable resilient pavements,1,1,0.919,0.919
infrastructure pavements sustainable,1,1,0.9081,0.9081
transportation measurement resilience,1,1,0.904,0.904
resilience transportation dots,1,1,0.8969,0.8969
resilient transportation measurement,1,1,0.8961,0.8961
resilient pavements resilient,1,1,0.896,0.896
pavements sustainable pavements,1,1,0.8929,0.8929
pavements resilient pavements,1,1,0.8913,0.8913
resilient pavements,1,1,0.8823,0.8823
pavements resilient,1,1,0.878,0.878
sustainable pavements,1,1,0.8711,0.8711
pavements sustainable,1,1,0.8657,0.8657
climate change transportation,1,1,0.8577,0.8577
infrastructure pavements,1,1,0.8457,0.8457
resilient resilient transportation,1,1,0.8427,0.8427
resilience lifelines,1,1,0.8399,0.8399
transportation dots hazards,1,1,0.8182,0.8182
dots hazards disasters,1,1,0.813,0.813
resilient transportation,1,1,0.8111,0.8111
transportation sector adaptation,1,1,0.8086,0.8086
infrastructure resilience components,1,1,0.7919,0.7919
resilience index vulnerability,1,1,0.7849,0.7849
resilience transportation,1,1,0.7819,0.7819
lifelines social needs,1,1,0.7812,0.7812
resilience community engagement,1,1,0.7805,0.7805
