phrase,category,doc_count,occurrence_count,mean_score,total_score
resilience,Economic Continuity,10,10,0.5512363636363636,6.0636
resilience,Sustainability,10,10,0.5512363636363636,6.0636
resilience,Resilience,10,10,0.5512363636363636,6.0636
transportation,Accessibility,6,6,0.40726666666666667,2.4436
transportation,Resilience,6,6,0.40726666666666667,2.4436
management,Emerging/Unmapped,5,5,0.20212,1.0106
climate change,Emerging/Unmapped,3,3,0.43039999999999995,1.2912
infrastructure,Resilience,3,3,0.38563333333333333,1.1569
transportation systems resilience,Resilience,2,2,0.80725,1.6145
resilience equity,Equity,2,2,0.6231,1.2462
resilience equity,Resilience,2,2,0.6231,1.2462
network resilience,Resilience,2,2,0.5614,1.1228
pavements,Emerging/Unmapped,2,2,0.54915,1.0983
disasters,Emerging/Unmapped,2,2,0.54285,1.0857
resilient,Resilience,2,2,0.49295,0.9859
hazards,Emerging/Unmapped,2,2,0.47955000000000003,0.9591000000000001
climate,Sustainability,2,2,0.37570000000000003,0.7514000000000001
climate,Adaptability,2,2,0.37570000000000003,0.7514000000000001
adaptation,Sustainability,2,2,0.3045,0.609
adaptation,Adaptability,2,2,0.3045,0.609
value,Emerging/Unmapped,2,2,0.26995,0.5399
community,Resilience,2,2,0.24335,0.4867
asset,Emerging/Unmapped,2,2,0.2095,0.419
systems,Emerging/Unmapped,2,2,0.19590000000000002,0.39180000000000004
network,Functionality,2,2,0.16595,0.3319
network,Redundancy,2,2,0.16595,0.3319
network,Connectivity,2,2,0.16595,0.3319
network,Robustness,2,2,0.16595,0.3319
network,Operational Performance,2,2,0.16595,0.3319
network,Capacity,2,2,0.16595,0.3319
change,Emerging/Unmapped,2,2,0.14800000000000002,0.29600000000000004
natural,Environmental Protection,2,2,0.04393333333333333,0.1318
resilience lifelines social,Resilience,1,1,0.9412,0.9412
pavements sustainable resilient,Sustainability,1,1,0.9262,0.9262
pavements sustainable resilient,Resilience,1,1,0.9262,0.9262
resilient pavements sustainable,Sustainability,1,1,0.9255,0.9255
resilient pavements sustainable,Resilience,1,1,0.9255,0.9255
sustainable resilient pavements,Sustainability,1,1,0.919,0.919
sustainable resilient pavements,Resilience,1,1,0.919,0.919
infrastructure pavements sustainable,Sustainability,1,1,0.9081,0.9081
transportation measurement resilience,Resilience,1,1,0.904,0.904
resilience transportation dots,Resilience,1,1,0.8969,0.8969
resilient transportation measurement,Resilience,1,1,0.8961,0.8961
resilient pavements resilient,Resilience,1,1,0.896,0.896
pavements sustainable pavements,Sustainability,1,1,0.8929,0.8929
pavements resilient pavements,Resilience,1,1,0.8913,0.8913
