category,precision_at_10,precision_at_10_percent
Sustainability,1.0,100.0
Flexibility,1.0,100.0
Responsiveness,1.0,100.0
Reliability,1.0,100.0
Cost-effectiveness,1.0,100.0
Economic Recovery,1.0,100.0
Adaptability,1.0,100.0
Environmental Protection,1.0,100.0
Mobility,1.0,100.0
Recoverability,0.9,90.0
Operational Performance,0.875,87.5
Safety,0.8333333333333334,83.33333333333334
Functionality,0.8,80.0
Equity,0.8,80.0
Resilience,0.8,80.0
Accessibility,0.7,70.0
Redundancy,0.6666666666666666,66.66666666666666
Restoration Speed,0.6666666666666666,66.66666666666666
Robustness,0.6,60.0
Pollution Prevention,0.5,50.0
Economic Continuity,0.5,50.0
Resource Availability,0.5,50.0
Connectivity,0.3333333333333333,33.33333333333333
Capacity,0.3333333333333333,33.33333333333333
Emerging/Unmapped,0.2,20.0
Public Health Support,0.0,0.0
Serviceability,0.0,0.0
