paper_id,phrase,score
1,transportation performance capabilities,0.7277
1,transportation performance,0.6835
1,capabilities vulnerable populations,0.5823
1,vulnerable populations,0.5449
1,transportation,0.5328
1,performance capabilities vulnerable,0.4678
1,vulnerable,0.3432
1,populations,0.3351
1,capabilities,0.2659
1,performance,0.2234
"ssists """,transportation systems resilience,0.7855
"ssists """,resilience equity,0.685
"ssists """,populations mobility vulnerability,0.5816
"ssists """,mobility,0.4197
"ssists """,justice asset management,0.3832
"ssists """,equity social,0.381
"ssists """,vulnerable,0.3652
"ssists """,populations,0.1978
"ssists """,management organizational,0.1755
"ssists """,systems,0.1479
2,client values contractors,0.643
2,achieving postdisaster reconstruction,0.5892
2,satisfactory delivery client,0.5312
2,reconstruction success,0.495
2,success based satisfactory,0.3368
2,services,0.2477
2,delivery,0.2402
2,achieving,0.2042
2,values,0.1847
2,based,0.0693
"through Lean Transformation""",disaster resilient operations,0.6419
"through Lean Transformation""",use selected lean,0.3174
"through Lean Transformation""",performance indicators carried,0.2583
"through Lean Transformation""",dros systematic,0.2195
"through Lean Transformation""",transformation different,0.1621
"through Lean Transformation""",meanings concept,0.1234
"through Lean Transformation""",framework requirements big,0.1042
"through Lean Transformation""",management scholars pay,0.0446
"through Lean Transformation""",light designing relief,0.0415
"through Lean Transformation""",13 01 2022,0.01
" review""",responsiveness disaster resilience,0.6358
" review""",disaster management industrial,0.5772
" review""",operations management lean,0.4938
" review""",kpi responsiveness disaster,0.3648
" review""",stream mapping kpi,0.3373
" review""",mapping,0.2676
" review""",transformation value,0.2488
" review""",relief,0.1312
" review""",case,0.039
" review""",study,-0.0024
4,disaster community resilience,0.7845
4,network improving disaster,0.6999
4,improving disaster,0.6855
4,transportation network improving,0.5698
4,disaster,0.4787
4,role transportation,0.4039
4,community,0.2803
4,network,0.2472
4,underestimated role,0.1328
4,improving,0.1238
5,transportation resilience climate,0.8658
5,infrastructure policy technology,0.5312
5,resilience,0.5145
5,transportation,0.4828
5,change infrastructure,0.4322
5,climate change,0.4298
5,technology social,0.3293
5,social dimensions,0.3235
5,policy,0.2081
5,dimensions,0.1228
"inclusi""",infrastructure resilience climate,0.7738
"inclusi""",transportation resilience natural,0.7287
"inclusi""",disaster recovery infrastructure,0.6396
"inclusi""",natural disasters disaster,0.5614
"inclusi""",urban transportation network,0.4899
"inclusi""",climate change,0.3231
"inclusi""",change adaptation,0.2975
"inclusi""",urban,0.2158
"inclusi""",recovery,0.1645
"inclusi""",natural,0.0006
6,connotation resilience transportation,0.9036
6,transportation resilience summative,0.889
6,resilience summative review,0.6485
6,definition connotation resilience,0.6426
6,transportation definition,0.5955
6,definition attribute,0.2312
6,definition connotation,0.1916
6,definition,0.1773
6,summative,0.1551
6,review definition,-0.014
7,ai crisis resilience,0.8654
7,responsible ai crisis,0.7902
7,crisis resilience,0.6841
7,resilience management,0.6685
7,roadmap responsible ai,0.6624
7,ai,0.4694
7,crisis,0.4425
7,responsible,0.3769
7,management,0.3336
7,roadmap,0.3007
"eward """,computing crisis resilience,0.6581
"eward """,applied computing crisis,0.5755
"eward """,information systems responsible,0.4943
"eward """,centered computing,0.4425
"eward """,equity human,0.398
"eward """,ai,0.3686
"eward """,management,0.292
"eward """,information,0.2271
"eward """,applied,0.1368
"eward """,circle information,0.0752
8,transportation infrastructure resilience,0.7932
8,framework evaluating transportation,0.5959
8,resilience,0.5168
8,performance measure based,0.4848
8,measure based framework,0.3962
8,infrastructure,0.3734
8,evaluating,0.2652
8,framework,0.2003
