paper_id,phrase,score
1,resilience transportation relatesto,0.8324
1,concerns users experts,0.2075
1,characteristics define,0.1309
1,agencies 58 33,0.0893
1,score economic,0.0871
1,groups household composition,0.0554
1,apply instructions,0.054
1,event calls shift,0.0196
1,abdelmagid status racial,-0.0281
1,thechallenges posed uncertain,-0.0348
2,disaster reconstruction projects,0.742
2,manage postdisaster,0.3144
2,satisfaction based contractual,0.2727
2,wenger 2007 berke,0.1718
2,address client values,0.1151
2,play zhang kumaraswamy,0.0743
2,define key,0.0477
2,perceived performance lower,0.0296
2,pinnington 2014 size,0.0122
2,columns column includes,0.0056
3,disaster resilient operations,0.6417
3,use selected lean,0.3184
3,activities indicators,0.2199
3,systematic literature review,0.2044
3,maps vsm key,0.18
3,meanings concept,0.1635
3,stream 2011 service,0.153
3,framework requirements big,0.1066
3,light designing relief,0.0559
3,management scholars pay,0.0411
4,disaster community resilience,0.6361
4,causing severe delays,0.2704
4,disproportionately impacted result,0.2642
4,transportlinks opened based,0.2639
4,supermarkets population,0.1606
4,taylor 2019 children,0.1408
4,intensity road segment,0.1392
4,necessity evidence,0.1314
4,jasour 2022 studies,0.0706
4,includingcommuting,-0.0453
5,disaster resilience transportation,0.7361
5,climatic variability significantly,0.222
5,communities lack access,0.1637
5,limits applicability findings,0.153
5,nodes tod reduces,0.1322
5,structures enhance systemic,0.0874
5,terminology field zhang,0.0732
5,interplay political economic,0.0662
5,real time data,0.0565
5,enable proactive,0.0365
6,resilience transportation systems,0.716
6,hurricane flood tsunami,0.3639
6,strike breakdown caused,0.346
6,society kobe,0.2284
6,potential actions taken,0.2133
6,cost increase acceptable,0.108
6,service specified time,0.1024
6,meaning scientifically clarify,0.0834
6,close mayada,0.0534
6,choose substitute mode,-0.017
7,ai crisis management,0.7234
7,data storage capacities,0.3166
7,robustness safety privacy,0.2384
7,advancements sensing technologies,0.1651
7,67 exacerbated implementing,0.1584
7,intuitively weick,0.0912
7,literature reviews used,0.0476
7,create path dependencies,0.0042
7,approximately hours,-0.0053
7,affiliations demographic attributes,-0.0084
8,transportation infrastructure resilience,0.7024
8,tornadoes step,0.1902
8,events estimated cost,0.18
8,term assessment sync,0.142
8,result types losses,0.1298
8,cumulative distribution function,0.0705
